"","state","state_name","county","fips_code","total_hh","total_population","total_multi_gen","total_hispanic","total_black","total_asian","total_non_white","total_white","total_hispanic_multigen","total_black_multigen","total_asian_multigen","total_non_white_multigen","total_white_multigen","multi_gen_pct","hispanic_multigen_pct","black_multigen_pct","asian_multigen_pct","non_white_multigen","white_multigen"
"2331","TX","Texas","Houston County","48225",12810.816,25730.064,1615.104,837.072,1502.496,59.04,2527.92,6734.16,185.184,290.016,25.632,537.984,1077.12,0.126073467919608,0.221228281438156,0.193022810044087,0.434146341463415,0.212816861293079,0.159948679568053
"2332","TX","Texas","Polk County","48373",25176.812,50566.723,3174.128,1645.079,2952.822,116.03,4968.065,13234.495,363.938,569.962,50.374,1057.288,2116.84,0.126073467919608,0.221228281438156,0.193022810044087,0.434146341463415,0.212816861293079,0.159948679568053
"2333","TX","Texas","Trinity County","48455",9697.076,19476.229,1222.544,633.617,1137.306,44.69,1913.495,5097.385,140.174,219.526,19.402,407.224,815.32,0.126073467919608,0.221228281438156,0.193022810044087,0.434146341463415,0.212816861293079,0.159948679568053
"2334","TX","Texas","San Jacinto County","48407",14590.096,29303.684,1839.424,953.332,1711.176,67.24,2879.02,7669.46,210.904,330.296,29.192,612.704,1226.72,0.126073467919608,0.221228281438156,0.193022810044087,0.434146341463415,0.212816861293079,0.159948679568053
"2335","TX","Texas","Walker County","48471",26689.2,53604.3,3364.8,1743.9,3130.2,123,5266.5,14029.5,385.8,604.2,53.4,1120.8,2244,0.126073467919608,0.221228281438156,0.193022810044087,0.434146341463415,0.212816861293079,0.159948679568053
"2336","IL","Illinois","Franklin County","17055",18088.812,37817.085,2274.201,238.347,1005.573,246.441,1675.032,14423.295,48.99,137.385,31.524,224.715,2049.486,0.125724176911121,0.205540661304736,0.136623596695615,0.127917026793431,0.134155645981689,0.142095547515322
"2337","IL","Illinois","Jackson County","17077",27939.996,58412.305,3512.733,368.151,1553.209,380.653,2587.256,22278.235,75.67,212.205,48.692,347.095,3165.638,0.125724176911121,0.205540661304736,0.136623596695615,0.127917026793431,0.134155645981689,0.142095547515322
"2338","IL","Illinois","Perry County","17145",9171.792,19174.86,1153.116,120.852,509.868,124.956,849.312,7313.22,24.84,69.66,15.984,113.94,1039.176,0.125724176911121,0.205540661304736,0.136623596695615,0.127917026793431,0.134155645981689,0.142095547515322
"2339","IL","Illinois","Williamson County","17199",29638.476,61963.205,3726.273,390.531,1647.629,403.793,2744.536,23632.535,80.27,225.105,51.652,368.195,3358.078,0.125724176911121,0.205540661304736,0.136623596695615,0.127917026793431,0.134155645981689,0.142095547515322
"2340","MN","Minnesota","Goodhue County","27049",22503.472,50641.712,2828.776,691.352,477.396,112.14,1457.464,17551.868,241.368,31.684,15.308,317.196,2511.58,0.125703980256913,0.349124613800206,0.0663683818046234,0.136507936507936,0.217635564240352,0.143094740685151
"2341","MN","Minnesota","Le Sueur County","27079",13717.004,30868.684,1724.282,421.414,290.997,68.355,888.398,10698.751,147.126,19.313,9.331,193.347,1530.935,0.125703980256913,0.349124613800206,0.0663683818046234,0.136507936507936,0.217635564240352,0.143094740685151
"2342","MN","Minnesota","Rice County","27131",26991.524,60741.604,3392.942,829.234,572.607,134.505,1748.138,21052.381,289.506,38.003,18.361,380.457,3012.485,0.125703980256913,0.349124613800206,0.0663683818046234,0.136507936507937,0.217635564240352,0.143094740685151
"2343","MO","Missouri","St. Louis city","29510",151859,294673,19020,4311,60793,4717,72541,69378,381,11784,561,13055,5965,0.125247762727267,0.0883785664578984,0.19383810636093,0.118931524273903,0.179967190967866,0.0859782640029981
"2344","CT","Connecticut","Tolland County","09013",70456,145577,8818,2151,1916,2090,6850,48818,184,155,206,597,8221,0.125156125809016,0.0855416085541609,0.0808977035490605,0.0985645933014354,0.0871532846715328,0.168400999631284
"2345","GA","Georgia","Fulton County","13121",443610.154,936868.317,55374.415,20027.048,171715.786,25941.147,225728.139,184741.052,3240.991,32983.166,3056.498,40315.932,15058.483,0.124826752725773,0.161830690174608,0.19207998733442,0.117824319795883,0.178603926735071,0.081511298311758
"2346","IA","Iowa","Polk County","19153",201596.92,487202.648,25151.616,10265.128,11282.256,7081.592,31599.256,161177.336,2642.512,2040.56,1695.984,6699.88,18451.736,0.124761906084676,0.257426112952513,0.180864536312596,0.239491910858462,0.21202651100393,0.114480959035084
"2347","FL","Florida","Leon County","12073",128143,273353,15974,5667,33171,3690,45214,68444,590,6299,378,7550,8424,0.124657609077359,0.104111522851597,0.189894787615688,0.102439024390244,0.166983677621975,0.123078721290398
"2348","OK","Oklahoma","Beckham County","40009",8764.32,19775.39,1092.12,1005.29,222.11,56.62,1696.32,5966.95,178.6,64.03,7.41,325.66,766.46,0.124609781477627,0.177660177660178,0.288280581693755,0.130872483221477,0.191980286738351,0.128450883617258
"2349","OK","Oklahoma","Custer County","40039",11070.72,24979.44,1379.52,1269.84,280.56,71.52,2142.72,7537.2,225.6,80.88,9.36,411.36,968.16,0.124609781477627,0.177660177660178,0.288280581693755,0.130872483221477,0.191980286738351,0.128450883617258
"2350","OK","Oklahoma","Greer County","40055",2490.912,5620.374,310.392,285.714,63.126,16.092,482.112,1695.87,50.76,18.198,2.106,92.556,217.836,0.124609781477627,0.177660177660178,0.288280581693755,0.130872483221477,0.191980286738351,0.128450883617258
"2351","OK","Oklahoma","Harmon County","40057",1383.84,3122.43,172.44,158.73,35.07,8.94,267.84,942.15,28.2,10.11,1.17,51.42,121.02,0.124609781477627,0.177660177660178,0.288280581693755,0.130872483221477,0.191980286738351,0.128450883617258
"2352","OK","Oklahoma","Kiowa County","40075",4751.184,10720.343,592.044,544.973,120.407,30.694,919.584,3234.715,96.82,34.711,4.017,176.542,415.502,0.124609781477627,0.177660177660178,0.288280581693755,0.130872483221476,0.191980286738351,0.128450883617258
"2353","OK","Oklahoma","Washita County","40149",4981.824,11240.748,620.784,571.428,126.252,32.184,964.224,3391.74,101.52,36.396,4.212,185.112,435.672,0.124609781477627,0.177660177660178,0.288280581693755,0.130872483221477,0.191980286738351,0.128450883617258
"2354","OK","Oklahoma","Jackson County","40065",10978.464,24771.278,1368.024,1259.258,278.222,70.924,2124.864,7474.39,223.72,80.206,9.282,407.932,960.092,0.124609781477627,0.177660177660178,0.288280581693755,0.130872483221477,0.191980286738351,0.128450883617258
"2355","OK","Oklahoma","Roger Mills County","40129",1706.736,3850.997,212.676,195.767,43.253,11.026,330.336,1161.985,34.78,12.469,1.443,63.418,149.258,0.124609781477627,0.177660177660178,0.288280581693755,0.130872483221476,0.191980286738351,0.128450883617258
"2356","NY","New York","Chemung County","36015",38075.456,80262.705,4737.588,494.121,1575.165,683.33,3391.998,30620.24,74.469,131.089,110.877,340.859,4396.729,0.124426297087552,0.150710048753241,0.0832223925747461,0.162259815901541,0.100489151231811,0.143588979054377
"2357","VT","Vermont","Orange County","50017",11079.936,23739.723,1374.219,148.554,48.573,42.525,418.446,10074.645,4.158,7.182,13.608,55.755,1318.464,0.124027701965066,0.0279898218829517,0.147859922178988,0.32,0.133242999096658,0.130869524434856
"2358","VT","Vermont","Windham County","50025",22159.872,47479.446,2748.438,297.108,97.146,85.05,836.892,20149.29,8.316,14.364,27.216,111.51,2636.928,0.124027701965066,0.0279898218829517,0.147859922178988,0.32,0.133242999096658,0.130869524434856
"2359","VT","Vermont","Windsor County","50027",25442.816,54513.438,3155.614,341.124,111.538,97.65,960.876,23134.37,9.548,16.492,31.248,128.03,3027.584,0.124027701965066,0.0279898218829517,0.147859922178988,0.32,0.133242999096658,0.130869524434856
"2360","NC","North Carolina","Brunswick County","37019",57030,121563,7073,1850,4522,211,7778,48278,413,840,47,1374,5699,0.124022444327547,0.223243243243243,0.185758513931889,0.222748815165877,0.17665209565441,0.118045486557024
"2361","IN","Indiana","Hamilton County","18057",120930.429,315142.04,14964.634,3481.112,4333.404,6179.515,15338.408,103937.358,480.829,763.214,688.418,2167.461,12797.173,0.123745810907526,0.138125116342134,0.176123435525513,0.111403241192877,0.141309384911394,0.123123901225198
"2362","KY","Kentucky","Fayette County","21067",142298,311295,17591,6202,18678,4546,32296,97487,1206,3446,680,5669,11922,0.123620852014786,0.194453402128346,0.184495127958025,0.149582050153982,0.175532573693337,0.122293228840769
"2363","NY","New York","Wyoming County","36121",19421.325,41195.154,2397.591,318.402,119.7,156.408,769.272,15227.835,53.865,50.274,2.793,158.403,2239.188,0.123451463790447,0.169172932330827,0.42,0.0178571428571429,0.205912863070539,0.147045722520634
"2364","NY","New York","Livingston County","36051",29253.675,62050.846,3611.409,479.598,180.3,235.592,1158.728,22937.165,81.135,75.726,4.207,238.597,3372.812,0.123451463790447,0.169172932330827,0.42,0.0178571428571429,0.205912863070539,0.147045722520634
"2365","KS","Kansas","Chase County","20017",1343.944,3046.12,165.9,74.732,16.156,11.004,142.128,1078.084,24.248,0.588,3.304,37.38,128.52,0.123442643443477,0.324466092169352,0.0363951473136915,0.300254452926209,0.263002364066194,0.119211490013765
"2366","KS","Kansas","Coffey County","20031",3551.852,8050.46,438.45,197.506,42.698,29.082,375.624,2849.222,64.084,1.554,8.732,98.79,339.66,0.123442643443477,0.324466092169352,0.0363951473136915,0.300254452926209,0.263002364066194,0.119211490013765
"2367","KS","Kansas","Elk County","20049",1583.934,3590.07,195.525,88.077,19.041,12.969,167.508,1270.599,28.578,0.693,3.894,44.055,151.47,0.123442643443477,0.324466092169352,0.0363951473136915,0.300254452926209,0.263002364066194,0.119211490013765
"2368","KS","Kansas","Greenwood County","20073",3647.848,8268.04,450.3,202.844,43.852,29.868,385.776,2926.228,65.816,1.596,8.968,101.46,348.84,0.123442643443477,0.324466092169352,0.0363951473136915,0.300254452926209,0.263002364066194,0.119211490013765
"2369","KS","Kansas","Lyon County","20111",13679.43,31005.15,1688.625,760.665,164.445,112.005,1446.66,10973.355,246.81,5.985,33.63,380.475,1308.15,0.123442643443477,0.324466092169352,0.0363951473136915,0.300254452926209,0.263002364066194,0.119211490013765
"2370","KS","Kansas","Woodson County","20207",1823.924,4134.02,225.15,101.422,21.926,14.934,192.888,1463.114,32.908,0.798,4.484,50.73,174.42,0.123442643443477,0.324466092169352,0.0363951473136915,0.300254452926209,0.263002364066194,0.119211490013765
"2371","KS","Kansas","Chautauqua County","20019",1919.92,4351.6,237,106.76,23.08,15.72,203.04,1540.12,34.64,0.84,4.72,53.4,183.6,0.123442643443477,0.324466092169352,0.0363951473136915,0.300254452926209,0.263002364066194,0.119211490013765
"2372","KS","Kansas","Marion County","20115",5327.778,12075.69,657.675,296.259,64.047,43.623,563.436,4273.833,96.126,2.331,13.098,148.185,509.49,0.123442643443477,0.324466092169352,0.0363951473136915,0.300254452926209,0.263002364066194,0.119211490013765
"2373","KS","Kansas","Morris County","20127",2879.88,6527.4,355.5,160.14,34.62,23.58,304.56,2310.18,51.96,1.26,7.08,80.1,275.4,0.123442643443477,0.324466092169352,0.0363951473136915,0.300254452926209,0.263002364066194,0.119211490013765
"2374","KS","Kansas","Wilson County","20205",4175.826,9464.73,515.475,232.203,50.199,34.191,441.612,3349.761,75.342,1.827,10.266,116.145,399.33,0.123442643443477,0.324466092169352,0.0363951473136915,0.300254452926209,0.263002364066194,0.119211490013765
"2375","ME","Maine","Sagadahoc County","23023",16055.532,35346.042,1976.76,168.948,84.132,114.57,648.774,14585.616,36.594,0,0,39.672,1937.088,0.123120180633068,0.216599190283401,0,0,0.0611491829204006,0.132808103545301
"2376","TX","Texas","Wichita County","48485",63445,128879,7810,6754,4471,854,13216,35140,1460,682,235,2552,5258,0.123098746946174,0.216168196624223,0.152538581972713,0.275175644028103,0.193099273607748,0.149630051223677
"2377","CO","Colorado","Lincoln County","08073",2495.74,5566.444,307.216,337.74,29.588,11.544,407.42,1710.592,67.236,8.58,1.456,80.756,226.46,0.123096155849568,0.199076212471132,0.289982425307557,0.126126126126126,0.198213146139119,0.132386916342412
"2378","CO","Colorado","Cheyenne County","08017",1007.895,2247.987,124.068,136.395,11.949,4.662,164.535,690.816,27.153,3.465,0.588,32.613,91.455,0.123096155849568,0.199076212471132,0.289982425307557,0.126126126126126,0.198213146139119,0.132386916342412
"2379","CO","Colorado","Crowley County","08025",1631.83,3639.598,200.872,220.83,19.346,7.548,266.39,1118.464,43.962,5.61,0.952,52.802,148.07,0.123096155849568,0.199076212471132,0.289982425307557,0.126126126126126,0.198213146139119,0.132386916342412
"2380","CO","Colorado","Kiowa County","08061",815.915,1819.799,100.436,110.415,9.673,3.774,133.195,559.232,21.981,2.805,0.476,26.401,74.035,0.123096155849568,0.199076212471132,0.289982425307557,0.126126126126126,0.198213146139119,0.132386916342412
"2381","CO","Colorado","Kit Carson County","08063",3647.62,8135.572,449.008,493.62,43.244,16.872,595.46,2500.096,98.268,12.54,2.128,118.028,330.98,0.123096155849568,0.199076212471132,0.289982425307557,0.126126126126126,0.198213146139119,0.132386916342412
"2382","CO","Colorado","Logan County","08075",9311.03,20767.118,1146.152,1260.03,110.386,43.068,1519.99,6381.824,250.842,32.01,5.432,301.282,844.87,0.123096155849568,0.199076212471132,0.289982425307557,0.126126126126126,0.198213146139119,0.132386916342412
"2383","CO","Colorado","Morgan County","08087",11902.76,26547.656,1465.184,1610.76,141.112,55.056,1943.08,8158.208,320.664,40.92,6.944,385.144,1080.04,0.123096155849568,0.199076212471132,0.289982425307557,0.126126126126126,0.198213146139119,0.132386916342412
"2384","CO","Colorado","Phillips County","08095",2159.775,4817.115,265.86,292.275,25.605,9.99,352.575,1480.32,58.185,7.425,1.26,69.885,195.975,0.123096155849568,0.199076212471132,0.289982425307557,0.126126126126126,0.198213146139119,0.132386916342412
"2385","CO","Colorado","Sedgwick County","08115",1487.845,3318.457,183.148,201.345,17.639,6.882,242.885,1019.776,40.083,5.115,0.868,48.143,135.005,0.123096155849568,0.199076212471132,0.289982425307557,0.126126126126126,0.198213146139119,0.132386916342412
"2386","CO","Colorado","Bent County","08011",2303.76,5138.256,283.584,311.76,27.312,10.656,376.08,1579.008,62.064,7.92,1.344,74.544,209.04,0.123096155849568,0.199076212471132,0.289982425307557,0.126126126126126,0.198213146139119,0.132386916342412
"2387","CO","Colorado","Yuma County","08125",4607.52,10276.512,567.168,623.52,54.624,21.312,752.16,3158.016,124.128,15.84,2.688,149.088,418.08,0.123096155849568,0.199076212471132,0.289982425307557,0.126126126126126,0.198213146139119,0.132386916342412
"2388","CO","Colorado","Washington County","08121",2543.735,5673.491,313.124,344.235,30.157,11.766,415.255,1743.488,68.529,8.745,1.484,82.309,230.815,0.123096155849568,0.199076212471132,0.289982425307557,0.126126126126126,0.198213146139119,0.132386916342412
"2389","NC","North Carolina","New Hanover County","37129",99844.548,211537.428,12258.804,3063.504,12259.264,1155.716,18487.728,74406.18,438.672,2865.98,72.916,3510.152,8748.652,0.12277890225914,0.143192892844272,0.233780755516808,0.063091624585971,0.189863892415553,0.117579641906089
"2390","FL","Florida","Charlotte County","12015",80304,162102,9856,3461,3538,866,8708,68183,881,952,135,2047,7809,0.122733612273361,0.254550707887894,0.269078575466365,0.155889145496536,0.235071198897565,0.114530014813077
"2391","IL","Illinois","Brown County","17009",2354.928,5129.76,288.72,20.352,60.96,8.928,117.312,2005.632,4.176,10.848,0.864,19.968,268.752,0.122602474470557,0.205188679245283,0.177952755905512,0.0967741935483871,0.170212765957447,0.133998659774076
"2392","IL","Illinois","Mason County","17125",6819.479,14854.93,836.085,58.936,176.53,25.854,339.716,5807.976,12.093,31.414,2.502,57.824,778.261,0.122602474470557,0.205188679245283,0.177952755905512,0.0967741935483871,0.170212765957447,0.133998659774076
"2393","IL","Illinois","Schuyler County","17169",3336.148,7267.16,409.02,28.832,86.36,12.648,166.192,2841.312,5.916,15.368,1.224,28.288,380.732,0.122602474470557,0.205188679245283,0.177952755905512,0.0967741935483871,0.170212765957447,0.133998659774076
"2394","IL","Illinois","Adams County","17001",28847.868,62839.56,3536.82,249.312,746.76,109.368,1437.072,24568.992,51.156,132.888,10.584,244.608,3292.212,0.122602474470557,0.205188679245283,0.177952755905512,0.0967741935483871,0.170212765957447,0.133998659774076
"2395","IL","Illinois","Pike County","17149",7702.577,16778.59,944.355,66.568,199.39,29.202,383.708,6560.088,13.659,35.482,2.826,65.312,879.043,0.122602474470557,0.205188679245283,0.177952755905512,0.0967741935483871,0.170212765957447,0.133998659774076
"2396","IA","Iowa","Mahaska County","19123",9312.324,21602.142,1140.942,235.056,107.97,110.448,576.843,8177.046,67.791,3.54,12.921,97.173,1043.769,0.122519577282749,0.288403614457831,0.0327868852459016,0.116987179487179,0.16845658177355,0.127646218451015
"2397","IA","Iowa","Wapello County","19179",15362.704,35637.432,1882.232,387.776,178.12,182.208,951.628,13489.816,111.836,5.84,21.316,160.308,1721.924,0.122519577282749,0.288403614457831,0.0327868852459016,0.116987179487179,0.16845658177355,0.127646218451015
"2398","IA","Iowa","Washington County","19183",9049.264,20991.912,1108.712,228.416,104.92,107.328,560.548,7946.056,65.876,3.44,12.556,94.428,1014.284,0.122519577282749,0.288403614457831,0.0327868852459016,0.116987179487179,0.16845658177355,0.127646218451015
"2399","IA","Iowa","Davis County","19051",3419.78,7932.99,418.99,86.32,39.65,40.56,211.835,3002.87,24.895,1.3,4.745,35.685,383.305,0.122519577282749,0.288403614457831,0.0327868852459016,0.116987179487179,0.16845658177355,0.127646218451015
"2400","IA","Iowa","Jefferson County","19101",7260.456,16842.348,889.548,183.264,84.18,86.112,449.742,6375.324,52.854,2.76,10.074,75.762,813.786,0.122519577282749,0.288403614457831,0.0327868852459016,0.116987179487179,0.16845658177355,0.127646218451015
"2401","IA","Iowa","Keokuk County","19107",4682.468,10862.094,573.694,118.192,54.29,55.536,290.051,4111.622,34.087,1.78,6.497,48.861,524.833,0.122519577282749,0.288403614457831,0.0327868852459016,0.11698717948718,0.16845658177355,0.127646218451015
"2402","IA","Iowa","Van Buren County","19177",3525.004,8177.082,431.882,88.976,40.87,41.808,218.353,3095.266,25.661,1.34,4.891,36.783,395.099,0.122519577282749,0.288403614457831,0.0327868852459016,0.116987179487179,0.16845658177355,0.127646218451015
"2403","ID","Idaho","Adams County","16003",2020.785,4424.055,247.551,43.731,6.106,10.148,137.987,1729.761,3.741,1.29,2.881,27.95,219.601,0.122502393871688,0.0855457227138643,0.211267605633803,0.283898305084746,0.202555313181677,0.126954533025083
"2404","ID","Idaho","Butte County","16023",1033.89,2263.47,126.654,22.374,3.124,5.192,70.598,884.994,1.914,0.66,1.474,14.3,112.354,0.122502393871688,0.0855457227138643,0.211267605633803,0.283898305084746,0.202555313181677,0.126954533025083
"2405","ID","Idaho","Custer County","16037",2349.75,5144.25,287.85,50.85,7.1,11.8,160.45,2011.35,4.35,1.5,3.35,32.5,255.35,0.122502393871688,0.0855457227138643,0.211267605633803,0.283898305084746,0.202555313181677,0.126954533025083
"2406","ID","Idaho","Idaho County","16049",6626.295,14506.785,811.737,143.397,20.022,33.276,452.469,5672.007,12.267,4.23,9.447,91.65,720.087,0.122502393871688,0.0855457227138643,0.211267605633803,0.283898305084746,0.202555313181677,0.126954533025083
"2407","ID","Idaho","Boise County","16015",3994.575,8745.225,489.345,86.445,12.07,20.06,272.765,3419.295,7.395,2.55,5.695,55.25,434.095,0.122502393871688,0.0855457227138643,0.211267605633803,0.283898305084746,0.202555313181677,0.126954533025083
"2408","ID","Idaho","Clark County","16033",422.955,925.965,51.813,9.153,1.278,2.124,28.881,362.043,0.783,0.27,0.603,5.85,45.963,0.122502393871688,0.0855457227138643,0.211267605633803,0.283898305084746,0.202555313181677,0.126954533025083
"2409","ID","Idaho","Clearwater County","16035",3383.64,7407.72,414.504,73.224,10.224,16.992,231.048,2896.344,6.264,2.16,4.824,46.8,367.704,0.122502393871688,0.0855457227138643,0.211267605633803,0.283898305084746,0.202555313181677,0.126954533025083
"2410","ID","Idaho","Lemhi County","16059",3571.62,7819.26,437.532,77.292,10.792,17.936,243.884,3057.252,6.612,2.28,5.092,49.4,388.132,0.122502393871688,0.0855457227138643,0.211267605633803,0.283898305084746,0.202555313181677,0.126954533025083
"2411","ID","Idaho","Lewis County","16061",1409.85,3086.55,172.71,30.51,4.26,7.08,96.27,1206.81,2.61,0.9,2.01,19.5,153.21,0.122502393871688,0.0855457227138643,0.211267605633803,0.283898305084746,0.202555313181677,0.126954533025083
"2412","ID","Idaho","Nez Perce County","16069",13205.595,28910.685,1617.717,285.777,39.902,66.316,901.729,11303.787,24.447,8.43,18.827,182.65,1435.067,0.122502393871688,0.0855457227138643,0.211267605633803,0.283898305084746,0.202555313181677,0.126954533025083
"2413","ID","Idaho","Valley County","16085",8929.05,19548.15,1093.83,193.23,26.98,44.84,609.71,7643.13,16.53,5.7,12.73,123.5,970.33,0.122502393871688,0.0855457227138643,0.211267605633803,0.283898305084746,0.202555313181677,0.126954533025083
"2414","AZ","Arizona","Yavapai County","04025",103576,219106,12675,9035,629,837,13163,85223,2336,63,176,3092,9583,0.122373909013671,0.258550083010515,0.100158982511924,0.210274790919952,0.234900858466915,0.112446170634688
"2415","OR","Oregon","Multnomah County","41051",345051,772571,42190,24617,16494,21368,76645,249632,5392,2796,5106,14895,27295,0.122271780113664,0.219035625787058,0.16951618770462,0.238955447397978,0.19433753017157,0.109340949878221
"2416","TX","Texas","Stonewall County","48433",852.79,1791.98,104.24,134.74,21.05,3.52,168.38,528.66,28.37,3,0.67,33.21,71.03,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2417","TX","Texas","Callahan County","48059",5798.972,12185.464,708.832,916.232,143.14,23.936,1144.984,3594.888,192.916,20.4,4.556,225.828,483.004,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2418","TX","Texas","Eastland County","48133",9124.853,19174.186,1115.368,1441.718,225.235,37.664,1801.666,5656.662,303.559,32.1,7.169,355.347,760.021,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2419","TX","Texas","Fisher County","48151",1961.417,4121.554,239.752,309.902,48.415,8.096,387.274,1215.918,65.251,6.9,1.541,76.383,163.369,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2420","TX","Texas","Jones County","48253",6651.762,13977.444,813.072,1050.972,164.19,27.456,1313.364,4123.548,221.286,23.4,5.226,259.038,554.034,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2421","TX","Texas","Knox County","48275",1790.859,3763.158,218.904,282.954,44.205,7.392,353.598,1110.186,59.577,6.3,1.407,69.741,149.163,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2422","TX","Texas","Mitchell County","48335",3581.718,7526.316,437.808,565.908,88.41,14.784,707.196,2220.372,119.154,12.6,2.814,139.482,298.326,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2423","TX","Texas","Runnels County","48399",4690.345,9855.89,573.32,741.07,115.775,19.36,926.09,2907.63,156.035,16.5,3.685,182.655,390.665,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2424","TX","Texas","Scurry County","48415",6225.367,13081.454,760.952,983.602,153.665,25.696,1229.174,3859.218,207.101,21.9,4.891,242.433,518.519,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2425","TX","Texas","Stephens County","48429",4434.508,9318.296,542.048,700.648,109.46,18.304,875.576,2749.032,147.524,15.6,3.484,172.692,369.356,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2426","TX","Texas","Brown County","48049",16288.289,34226.818,1990.984,2573.534,402.055,67.232,3216.058,10097.406,541.867,57.3,12.797,634.311,1356.673,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2427","TX","Texas","Comanche County","48093",6395.925,13439.85,781.8,1010.55,157.875,26.4,1262.85,3964.95,212.775,22.5,5.025,249.075,532.725,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2428","TX","Texas","Haskell County","48207",3070.044,6451.128,375.264,485.064,75.78,12.672,606.168,1903.176,102.132,10.8,2.412,119.556,255.708,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2429","TX","Texas","Kent County","48263",511.674,1075.188,62.544,80.844,12.63,2.112,101.028,317.196,17.022,1.8,0.402,19.926,42.618,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2430","TX","Texas","Nolan County","48353",6395.925,13439.85,781.8,1010.55,157.875,26.4,1262.85,3964.95,212.775,22.5,5.025,249.075,532.725,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2431","TX","Texas","Shackelford County","48417",1535.022,3225.564,187.632,242.532,37.89,6.336,303.084,951.588,51.066,5.4,1.206,59.778,127.854,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2432","TX","Texas","Throckmorton County","48447",938.069,1971.178,114.664,148.214,23.155,3.872,185.218,581.526,31.207,3.3,0.737,36.531,78.133,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2433","TX","Texas","Coleman County","48083",4946.182,10393.484,604.592,781.492,122.09,20.416,976.604,3066.228,164.546,17.4,3.886,192.618,411.974,0.122234078729816,0.21055365889862,0.142517814726841,0.190340909090909,0.197232450409787,0.134358566942837
"2434","IA","Iowa","Scott County","19163",70319,160607,8586,3363,4700,1419,10384,56637,530,758,295,1622,6964,0.12210071246747,0.15759738328873,0.161276595744681,0.207892882311487,0.156201848998459,0.122958490033017
"2435","MN","Minnesota","Freeborn County","27047",13830.651,32665.194,1687.104,759.249,192.879,270.657,1351.197,11965.023,184.527,76.734,32.886,306.414,1380.69,0.121982978241588,0.243038844963905,0.397834912043302,0.121504339440694,0.226772261927757,0.115393844207404
"2436","MN","Minnesota","Mower County","27099",16533.192,39048.048,2016.768,907.608,230.568,323.544,1615.224,14303.016,220.584,91.728,39.312,366.288,1650.48,0.121982978241588,0.243038844963905,0.397834912043302,0.121504339440694,0.226772261927757,0.115393844207404
"2437","MN","Minnesota","Steele County","27147",14890.471,35168.274,1816.384,817.429,207.659,291.397,1454.737,12881.883,198.667,82.614,35.406,329.894,1486.49,0.121982978241588,0.243038844963905,0.397834912043302,0.121504339440694,0.226772261927757,0.115393844207404
"2438","MN","Minnesota","Dodge County","27039",7736.686,18272.484,943.744,424.714,107.894,151.402,755.842,6693.078,103.222,42.924,18.396,171.404,772.34,0.121982978241588,0.243038844963905,0.397834912043302,0.121504339440694,0.226772261927757,0.115393844207404
"2439","OH","Ohio","Fulton County","39051",19062.824,43062.152,2321.8,976.472,254.552,86.104,1541.224,14981.344,135.736,16.544,43.616,216.576,2105.224,0.121797274107971,0.139006546014632,0.0649926144756278,0.506550218340611,0.140522078555745,0.140523039855436
"2440","CA","California","Humboldt County","06023",58628,129482,7120,4337,455,1262,10244,44435,543,51,429,1823,5297,0.121443678788292,0.125201752363385,0.112087912087912,0.339936608557845,0.177957828973057,0.119207831664229
"2441","ME","Maine","Cumberland County","23005",129602.092,279703.085,15727.983,1747.91,2634.191,1758.033,8695.382,113237.093,249.384,319.288,260.631,1194.022,14533.961,0.121355934594019,0.14267553821421,0.121209130241505,0.148251483333931,0.137316796432865,0.128349824381309
"2442","MI","Michigan","Otsego County","26137",9004.485,19599.804,1089.711,65.709,12.936,31.458,286.503,8397.669,6.615,1.47,10.584,40.278,1049.433,0.121018692351645,0.100671140939597,0.113636363636364,0.336448598130841,0.140584915341201,0.124967178392004
